イコライザー	3.94	1992
アメイジング･スパイダーマン2™	3.45	1877
モンスターズ／地球外生命体	2.71	403
28日後...	3.38	745
モンスターズ／新種襲来	1.88	300
イントゥ･ザ･ストーム	3.51	758
ダイ･ハード／ラスト･デイ	2.82	1417
ダイ･ハード	4.48	1461
28週後...	3.18	856
ダイ･ハード4.0	3.87	2536
ムーンライト	2.75	8
ポセイドン	2.67	6
ダイ･ハード2	3.91	843
ダイ･ハード3	3.62	913
TAXI NY	3.18	242
ハプニング	2.74	1659
アメイジング･スパイダーマン™	3.45	1877
トランスフォーマー／ ロストエイジ	3.13	1513
10/18まで	-1	-1
マイティ･ソー バトルロイヤル	4.02	2956
スパイダーマン™	3.86	1591
プラダを着た悪魔	4.10	3922
ミュータント･タートルズ	3.90	30
スパイダーマン™ 3	3.56	2767
ジーパーズ･クリーパーズ	3.04	100
ラ･ラ･ランド	4.06	18172
ガリバー旅行記	2.79	491
パラノーマル･アクティビティ／呪いの印	2.19	96
10/23まで	-1	-1
キャプテン･アメリカ／ウィンター･ソルジャー	4.20	1980
エネミー･ライン	1.45	11
パッセンジャーズ	3.24	1021
AVP2 エイリアンズVS.プレデター	2.55	1150
彼が二度愛したS	3.13	328
アバター	2.29	7
10/18まで	-1	-1
ガーディアンズ･オブ･ギャラクシー：リミックス	4.34	4180
スパイダーマン™ 2	3.83	1121
幸せへのキセキ	3.94	1022
コマンドー	3.50	2
プレデターズ	3.05	1235
プレデター	2.00	8
プロメテウス	2.94	2805
ネイビーシールズ	3.38	598
オーメン	3.90	365
タイタニック	1.80	5
プレデター2	3.42	383
10/23まで	-1	-1
マイティ･ソー／ダーク･ワールド	3.64	1230
ムーラン･ルージュ	-2	-2
エイリアンVS.プレデター	3.21	733
ミッション：インポッシブル／ゴースト･プロトコル	4.17	3541
キラー･エリート	3.15	547
オール･ユー･ニード･イズ･キル	3.96	4276
ナイト ミュージアム2	3.44	928
無料あり	-1	-1
【特別映像集】ザ･プレデター	-1	-1
オーメン666	2.83	271
エイリアン	1.23	13
エイリアン4	3.36	614
M:i:III	3.76	2816
オーメン2／ダミアン	3.40	102
エイリアン2	4.47	330
ナイト ミュージアム	3.80	1973
メカニック	3.31	45
エイリアン3	3.07	725
トランスフォーマー／ダークサイド･ムーン	3.57	1693
オーメン／最後の闘争	2.76	71
インデペンデンス･デイ	1.61	59
ミーン･ガールズ	3.61	277
セックス･アンド･ザ･シティ 2	3.37	765
アイス･エイジ	3.58	151
ワールド･ウォーZ	3.20	2685
PLANET OF THE SHARKS 鮫の惑星	3.00	26
コンテイジョン	3.20	1024
10/31まで	-1	-1
マトリックス	3.43	28
17歳	2.63	8
アイス･エイジ3／ティラノのおとしもの	3.71	77
ラスト･ボーイスカウト	3.14	197
抱きたいカンケイ	3.32	380
エアベンダー	2.82	497
ウルフ･オブ･ウォールストリート	3.62	2523
アビス	3.65	181
ミッション：インポッシブル	4.06	2529
セル	4.00	1
M:I-2	3.44	1618
アイアンマン & ハルク：奇跡のタッグ	3.62	2022
クラッシュ	4.00	1
トランスフォーマー／リベンジ	3.69	1911
ブレイド3	2.98	241
ブレイド	4.40	5
シャッター アイランド	3.53	3078
(500) 日のサマー	3.78	2022
ナイスガイズ!	3.69	888
クライシス･オブ･アメリカ	2.97	188
10/31まで	-1	-1
マトリックス リローデッド	3.65	968
アイス･エイジ4／パイレーツ大冒険	3.25	20
イット･フォローズ	3.06	980
トランスフォーマー	3.61	3452
チャーリーとチョコレート工場	3.57	2831
アウトロー	3.22	36
時計じかけのオレンジ	3.84	1552
ラブリーボーン	3.15	1377
アイス･エイジ2	3.40	109
ブレイド2	3.45	286
10/19まで	-1	-1
フェーズ6	3.01	172
ザ･ビーチ	3.15	864
イーグル･アイ	3.32	1530
ネイビーシールズ：チーム6	3.28	188
glee／グリー ザ･コンサート･ムービー	3.59	79
私がクマにキレた理由 (わけ)	3.50	608
2001年宇宙の旅	3.92	1397
10/31まで	-1	-1
マトリックス レボリューションズ	3.38	934
シャイニング	3.88	1563
ザ･ウォーカー	3.17	1008
チャイルド･プレイ	3.73	394
リンカーン／秘密の書	2.88	391
メリーに首ったけ	3.72	848
ドン･ジョン	2.85	388
G.I.ジョー バック2リベンジ	2.81	609
フルメタル･ジャケット	4.02	844
ディープブルー･ライジング	1.62	21
シャーロック･ホームズ	4.00	1
リンカーン	3.40	873
10/19まで	-1	-1
スポンジ･ボブ／スクエアパンツ ザ･ムービー	3.98	41
最強のふたり	4.31	4279
フォー･ブラザーズ／狼たちの誓い	3.55	96
10/19まで	-1	-1
ザ･シューター／極大射程	3.65	1002
パラノーマル･アクティビティ2	2.45	238
アダムス･ファミリー	3.75	499
羊たちの沈黙	4.29	2572
SHAME －シェイム－	3.22	418
キングダム･オブ･ヘブン	3.52	431
チェ 28歳の革命	3.50	708
シャーロック･ホームズ シャドウ ゲーム	3.61	1369
フューリー	3.48	67
マックス･スティール	2.54	120
バンク･ジョブ	3.81	714
パラノーマル･アクティビティ4	2.46	139
10/19まで	-1	-1
殺人ゲームへの招待	3.23	39
ターミネーター The Terminator	1.44	9
美女と野獣 ～Beauty and the Beast～	3.25	4
エリザベスタウン	3.30	624
ミニスキュル 〜森の小さな仲間たち〜	3.74	23
10/27まで	-1	-1
ラスト･デイズ	2.91	147
パーフェクト･トラップ	3.58	120
第9地区	3.80	3113
ホテル･バディーズ ワンちゃん救出大作戦	3.77	13
ラスト･ターゲット	3.07	291
キューティ･ブロンド	4.20	735
X-ファイル ザ･ムービー	3.16	120
アダムス･ファミリー2	3.77	248
エンジェル ウォーズ	3.38	884
パラノーマル･アクティビティ3	2.75	161
X-ファイル： 真実を求めて	3.01	317
JUNO／ジュノ	3.68	974
キューティ･ブロンド／ハッピーMAX	3.45	208
かぞくはじめました	3.61	222
メガ･シャーク VS クロコザウルス	2.20	15
10/19まで	-1	-1
ジョージアの日記 ゆーうつでキラキラな毎日	3.92	75
セッション	4.12	6994
フロム･ヘル	3.26	417
ウォッチメン	3.37	1415
ホビット 思いがけない冒険／エクステンデッド･バージョン	3.80	1446
ブレードランナー	3.95	1793
ナチョ･リブレ 覆面の神様	3.46	315
ブルドッグ	3.00	1
10/24まで	-1	-1
ショーシャンクの空に	4.53	5588
ロリータ	3.00	3
王様のためのホログラム	2.65	402
バチェロレッテ あの子が結婚するなんて!	2.49	239
パシフィック･リム	3.90	3908
白い闇の女	3.34	68
チェンジング･レーン	3.10	284
バトルランナー	3.07	260
フローズン･タイム	3.66	426
グランド･イリュージョン	3.67	2870
ディープ･インパクト	2.00	15
コラテラル	3.58	1398
L.A.ギャングストーリー	-1	-1
10/19まで	-1	-1
クローバーフィールド／HAKAISHA	3.11	2792
トップガン	3.93	1573
メン･イン･ブラック3	3.65	1345
スマーフ	3.39	23
ドリームガールズ	3.96	2197
ボウリング･フォー･コロンバイン	3.93	230
ドメスティック･フィアー	3.35	77
アイス･ジョーズ	1.89	27
タイタンの逆襲	3.44	9
プラトーン	3.33	3
リンカーン弁護士	3.80	440
タイタンの戦い	3.05	1077
ゴッドファーザー	4.49	2306
ラム･ダイアリー	2.60	265
10/24まで	-1	-1
ロード･オブ･ザ･リング／王の帰還	3.96	1399
10/19まで	-1	-1
今日、キミに会えたら	3.15	67
マギーズ･プラン 幸せのあとしまつ	3.28	218
スナッチャーズ･フィーバー ー喰われた町ー	2.49	87
メガ･シャーク VS ジャイアント･オクトパス	1.67	58
トワイライト･サーガ／ブレイキング･ドーン Part 2	3.75	347
スマーフ2 アイドル救出大作戦!	3.65	37
ホビット 竜に奪われた王国／エクステンデッド･バージョン	3.68	1273
紀元前1万年	2.58	795
10/19まで	-1	-1
ランゴ	-2	-2
ソング･オブ･ザ･シー 海のうた	4.15	168
10/12まで	-1	-1
リトルフット 迷子の恐竜	4.00	1
10/18まで	-1	-1
ヴィジョン／暗闇の来訪者	3.23	70
ゼロ･ダーク･サーティ	3.69	1325
ホビット 決戦のゆくえ／エクステンデッド･バージョン	3.68	1273
10/19まで	-1	-1
フライト	2.87	1445
アンノウン	3.39	291
ロッキー･ホラー･ショー	3.85	238
10/22まで	-1	-1
ザ･ボーイ ～人形少年の館～	3.34	212
G.I.ジョー	3.27	1076
エクリプス／トワイライト･サーガ	3.42	501
10/19まで	-1	-1
ワールド･トレード･センター	3.09	1127
4デイズ･イン･イラク	3.21	43
ダム･キーパー 短編映画	4.09	11
ルーム	2.71	34
ダイバージェントNEO	2.71	368
5時から7時の恋人カンケイ	3.87	153
ハンガー･ゲーム	2.98	1700
トワイライト･サーガ／ブレイキング･ドーン Part 1	3.67	347
ある公爵夫人の生涯	3.45	220
ハンガー･ゲーム FINAL：レボリューション	3.08	896
スパイキッズ 3-D：ゲームオーバー	2.75	137
10/19まで	-1	-1
ニック･オブ･タイム	3.21	423
10/15まで	-1	-1
ザ･レジェンド	2.72	178
ズーランダー	3.73	314
ゴッドファーザー PART2	4.49	2306
10/19まで	-1	-1
スイッチ･バック／追跡者	3.34	29
メガ･シャーク VS グレート･タイタン	2.26	38
恋とニュースのつくり方	3.58	565
インディ･ジョーンズ／レイダース 失われたアーク《聖櫃》	4.22	1470
乱	2.17	6
ハンガー･ゲーム FINAL：レジスタンス	2.85	962
世界にひとつのプレイブック	3.65	1773
ハンガー･ゲーム2	3.08	933
スパイ･レジェンド	3.41	455
インディ･ジョーンズ／魔宮の伝説	4.20	1406
インディ･ジョーンズ／クリスタル･スカルの王国	3.31	3246
バタリオン ロシア婦人決死隊VSドイツ軍	3.88	41
エージェント･ウルトラ	3.05	880
NARC ナーク	3.63	112
ストップ･ロス／戦火の逃亡者	3.37	30
宇宙戦争	3.48	62
バリーリンドン	4.05	258
10/19まで	-1	-1
ゾンビ	1.00	7
キャリー	2.74	31
10/20まで	-1	-1
ダイアリー･オブ･ザ･デッド	2.82	331
ミラーズ 呪怨鏡	2.46	39
メガ･シャーク VS メカ･シャーク	2.23	47
ユージュアル･サスペクツ	4.07	2392
キャロル	4.25	4
スピーシーズ／種の起源	3.20	235
10/19まで	-1	-1
サイドウォーク･オブ･ニューヨーク	3.24	25
ニコラス･ケイジのウェザーマン	-1	-1
スターダスト	3.79	577
ヘンゼルとグレーテル おそろし森の魔女	2.04	25
10/19まで	-1	-1
クール･ワールド	2.70	10
ターザン	3.66	188
真夜中のパリでヒャッハー!	4.08	66
スター･トレック イントゥ･ダークネス	3.94	1799
インディ･ジョーンズ最後の聖戦	4.15	1043
LOOPER／ルーパー	3.26	1383
ビッグ･アイズ	3.50	848
トゥルーマン･ショー	3.89	1221
サイドウェイ	3.46	342
ノーカントリー	3.72	2144
11/01まで	-1	-1
トリプル9 裏切りのコード	3.17	303
ロックンローラ	3.46	249
裏切りのサーカス	3.60	1187
アミスタッド	3.77	262
スリーピー･ホロウ	3.56	960
スカイライン －征服－	2.50	901
マッチスティック･メン	3.87	884
10/21まで	-1	-1
マッド･スピード	-2	-2
若き人妻の秘密	2.94	17
セレステ&ジェシー	3.55	164
マジック･イン･ムーンライト	3.24	693
ダイバージェント	2.89	157
ヴェルサイユの宮廷庭師	3.41	279
タッカーとデイル 史上最悪にツイてないヤツら	4.09	400
スター･トレック (2009)	1.50	2
ミニミニ大作戦	3.79	873
世界の果てまでヒャッハー!	3.24	148
ミッドナイト･イン･パリ	3.84	1505
マイノリティ･リポート	3.63	1862
スパルタンＸ	3.90	273
ロボコップ	3.14	898
ザ･タウン	3.57	837
スパイダーウィックの謎	3.58	458
ミザリー	4.15	839
パーフェクト･ルーム	2.83	273
ロッキー	4.36	1073
博士と私の危険な関係	3.00	5
カウボーイ&エイリアン	2.77	815
ゴッドファーザー PART3	4.49	2306
10/19まで	-1	-1
ヒューゴの不思議な発明	3.31	1332
チャーリー･モルデカイ 華麗なる名画の秘密	2.46	822
ラスト･ウィッチ･ハンター	2.95	258
イミテーション･ゲーム エニグマと天才数学者の秘密	4.15	3680
レボリューショナリー･ロード／燃え尽きるまで	3.52	829
10/07まで	-1	-1
31年目の夫婦げんか	3.08	325
ATOM	3.42	223
ゴースト／ニューヨークの幻	4.16	1186
死霊のはらわた II	3.65	139
チョコレートドーナツ	4.23	1986
シークレット･アイズ	3.49	604
ロッキー･ザ･ファイナル	4.23	1546
ザ･ファーム／法律事務所	3.41	358
ベオウルフ／呪われし勇者	2.70	691
Dr.パルナサスの鏡	3.40	1170
ダーク･プレイス	3.10	593
ロッキー4／炎の友情	3.95	490
10/19まで	-1	-1
ミーン･マシーン	3.40	68
アメリカン･サイコ	3.34	407
エターナル･サンシャイン	3.66	1700
人生はビギナーズ	3.45	428
THE JUON／呪怨	2.70	148
ファーゴ	3.76	1025
ロックアウト	2.00	2
11/05まで	-1	-1
エクスペンダブル･レディズ	2.46	65
トロピック･サンダー／史上最低の作戦	3.31	809
アーミー･オブ･ダークネス	-2	-2
恋人たちの予感	3.91	350
バニラ･スカイ	3.43	1173
10/19まで	-1	-1
仮面の真実	3.36	22
10/25まで	-1	-1
スラムドッグ$ミリオネア	4.05	3286
ロッキー2	3.87	456
10/19まで	-1	-1
ジャッカス／クソジジイのアメリカ横断チン道中	3.21	97
大脱走	2.86	21
英国王のスピーチ	3.92	3339
10/12まで	-1	-1
ザ･カー	3.62	47
10/31まで	-1	-1
ラスト･キング 王家の血を守りし勇者たち	3.74	23
ロッキー3	3.77	447
タンタンの冒険 ユニコーン号の秘密	3.25	676
ロボコップ2	2.93	195
11/05まで	-1	-1
エアポート2014	1.80	25
ミス･ポター	4.00	660
ナインスゲート	3.06	502
最後の1本 ～ペニス博物館の珍コレクション～	3.17	54
スノーピアサー	2.79	754
三銃士／王妃の首飾りとダ･ヴィンチの飛行船	3.39	1007
デッドマン･ウォーキング	3.86	452
10/19まで	-1	-1
48時間	3.60	264
ロボコップ3	2.62	154
10/18まで	-1	-1
サウスポー	3.82	1075
イヴ･サンローラン	3.39	69
フランス組曲	4.03	363
キャノンボール	3.43	214
10/09まで	-1	-1
星の旅人たち	4.11	186
10/28まで	-1	-1
サスペリアPART2	3.80	198
10/07まで	-1	-1
余命90分の男	2.95	125
テルマ&ルイーズ	3.95	596
普通の人々	3.71	255
くまのアーネストおじさんとセレスティーヌ	3.89	65
ウエスト･サイド物語	4.03	436
ロッキー5／最後のドラマ	3.24	372
10/31まで	-1	-1
砂上の法廷	3.17	533
10/19まで	-1	-1
A.I. Artificial Intelligence	3.54	1613
ミレニアム ドラゴン･タトゥーの女	4.01	795
10/13まで	-1	-1
オン･ザ･ハイウェイ その夜、86分	3.14	562
ラストベガス	3.70	685
ム－ラン	-1	-1
天才スピヴェット	3.72	764
ブラー／ノー･ディスタンス･レフト･トゥ･ラン	-1	-1
10/30まで	-1	-1
フェノミナ	3.45	153
サンバ	3.11	257
10/25まで	-1	-1
ラブ&マネー	3.00	42
ブルーベルベット	3.72	297
U･ボート ディレクターズ･カット	4.31	64
10/18まで	-1	-1
神様メール	3.41	606
素敵なサプライズ ブリュッセルの奇妙な代理店	3.77	379
10/19まで	-1	-1
48時間 Part 2／帰ってきたふたり	3.06	112
間奏曲はパリで	3.61	114
十二人の怒れる男	4.51	736
第九軍団のワシ	3.49	125
プロテクター	3.17	72
ジェーン	2.55	84
モネ･ゲーム	3.06	675
ロビン･フッド	2.50	2
10/13まで	-1	-1
オンディーヌ 海辺の恋人	3.15	53
10/27まで	-1	-1
ラバランチュラ 全員出動!	3.65	37
イレイザーヘッド	3.47	244
100歳の華麗なる冒険	3.60	194
10/08まで	-1	-1
屋根裏部屋のマリアたち	3.73	104
ヤング･アダルト･ニューヨーク	2.94	338
コロニア	3.54	404
カリフォルニア	4.50	2
ミレニアム2 火と戯れる女	3.52	333
デビルクエスト	2.65	224
ブルーに生まれついて	3.62	375
バレット	1.00	2
10/10まで	-1	-1
ザ･ディープ	2.68	76
エスコバル 楽園の掟	3.52	123
東ベルリンから来た女	3.77	115
ザ･レイド	3.45	253
マイ･ファニー･レディ	3.40	326
ソハの地下水道	3.90	136
画家モリゾ、マネの描いた美女 名画に隠された秘密	3.10	39
アウトバーン	2.95	304
ビヨンド･ザ･サーフェス	4.00	1
ツイン･ピークス／ローラ･パーマー 最期の7日間	3.22	172
モーターサイクル･ダイアリーズ	3.95	600
写真家ソール･ライター 急がない人生で見つけた13のこと	4.14	21
ガンズ&ゴールド	3.08	132
グラン･ブルー 完全版 －デジタル･レストア･バージョン－	4.07	374
バトル･オブ･アトランティス	2.08	24
ディアボロス／悪魔の扉	3.37	485
ファントム 開戦前夜	3.30	76
それでも夜は明ける	3.83	1558
アトランティス －デジタル･レストア･バージョン－	3.63	38
10/29まで	-1	-1
シャドー	1.80	15
11/01まで	-1	-1
THE FORGER 天才贋作画家 最後のミッション	3.28	101
ラッシュ／プライドと友情	4.07	1464
ハンズ･オブ･ラヴ 手のひらの勇気	4.09	281
デビルズ･メタル	3.33	18
英雄の証明	3.31	78
インランド･エンパイア	3.35	306
世界の果ての通学路	3.98	205
ドライビング Miss デイジー	4.04	433
最高の花婿	3.78	288
ロスト･ハイウェイ	3.52	206
ザ･ヴィジランテ 世界最強の私設軍隊	2.98	46
サヨナラの代わりに	3.79	412
メニルモンタン 2つの秋と3つの冬	3.54	28
K-19	3.64	368
ミレニアム3 眠れる女と狂卓の騎士	3.48	266
カムバック!	3.17	102
ヘンリー･アンド･ザ･ファミリー	3.37	19
バトルクリーク･ブロー	2.77	73
真夜中のゆりかご	3.65	339
追憶の森	3.41	881
裸足の季節	3.73	281
永遠の反逆児 ヴィヴィアン･ウエストウッド	2.33	3
80デイズ	2.93	157
シーモアさんと、大人のための人生入門	4.19	191
10/11まで	-1	-1
暴走車 ランナウェイ･カー	2.77	62
バックストリート･ボーイズ：ショウエム･ホワット･ユーアー･メイド･オブ	-1	-1
10/23まで	-1	-1
ヴィヴィアン･マイヤーを探して	4.03	96
ミックマック	3.67	306
ローマ法王の休日	2.62	213
10/26まで	-1	-1
灼熱の魂	4.17	420
10/15まで	-1	-1
迷子の警察音楽隊	3.73	255
疑惑のチャンピオン	3.62	375
Dearダニー 君へのうた	3.85	389
グッバイ、レーニン!	3.98	443
アンドロイドコップ	1.92	12
永遠のモータウン	4.38	16
愛、アムール	4.03	414
レイルウェイ 運命の旅路	3.71	340
カルテット! 人生のオペラハウス	3.36	231
フォックスキャッチャー	3.57	756
ハービー･ハンコック ポシビリティーズ	4.40	5
ペーパーマン PaperMan	2.48	65
マーク･ジェイコブス&ルイ･ヴィトン ～モード界の革命児～	-1	-1
11/03まで	-1	-1
僕が星になるまえに	3.10	107
ストリートダンス オールスターズ	3.00	1
10/15まで	-1	-1
レスラー	-2	-2
ラブ&マーシー 終わらないメロディー	3.59	234
モダン･トラッドの英国紳士 ポール･スミス	-2	-2
カール･ラガーフェルド スケッチで語る人生	4.12	112
雪の轍	3.52	151
イヤー･オブ･ザ･ドラゴン	3.56	147
グランド･ジョー	3.30	139
ドッペルゲンガー 凍てつく分身	2.65	20
ガンマー第3号 宇宙大作戦	3.33	9
ディーパンの闘い	3.51	300
10/15まで	-1	-1
幸せはシャンソニア劇場から	4.01	168
偉大なるマルグリット	3.21	135
ソング･オブ･ラホール	3.89	37
10/26まで	-1	-1
少女は自転車にのって	3.97	149
ニコラス･ウィントンと669人の子どもたち	4.35	84
火の山のマリア	3.18	51
クロエの祈り	3.90	10
10/20まで	-1	-1
真夜中の処刑ゲーム	3.89	27
ザ･ファイター	3.58	673
おやすみなさいを言いたくて	3.90	207
ザ･セル	2.67	3
ブラディ･サンデー	3.89	46
ハードコア	3.22	543
はじまりへの旅	3.78	648
特捜部Q Pからのメッセージ	3.61	150
メットガラ ドレスをまとった美術館	4.03	113
特捜部Q キジ殺し	3.62	195
特捜部Q 檻の中の女	3.81	354
INFINI／インフィニ	2.49	117
ニューヨーク･バーグドルフ 魔法のデパート	2.81	31
マーゴット･ウェディング	3.75	161
ハードエイト	3.37	52
星の王子さま	3.67	1097
NY検事局	3.64	25
一枚のめぐり逢い	3.40	267
コラテラル･ダメージ	2.84	305
マン･オブ･スティール	3.43	2391
デビル･インサイド	2.27	30
ラブ･アゲイン	3.94	923
アルゴ	3.96	2488
血のバレンタイン	3.37	41
エスター	4.00	2343
トゥルー･カラーズ	3.14	22
ボビー･フィッシャーを探して	3.89	235
ローマの休日	4.51	1563
アルカトラズからの脱出	3.98	443
最強絶叫ダンス計画	2.71	7
レモニー･スニケットの世にも不幸せな物語	3.27	405
40男のバージンロード	3.82	68
ティファニーで朝食を	3.55	820
ディスタービア	3.27	595
パトリオット･ゲーム	3.21	367
タキシード	5.00	2
シャーロットのおくりもの	3.91	457
レッド･オクトーバーを追え!	3.92	459
フレディVSジェイソン	3.38	240
シモーヌ	3.40	149
赤ずきん	3.06	580
アメリカン･ヒストリーX	4.36	822
ヘドウィグ･アンド･アングリーインチ	4.10	409
ア･マイティ･ハート	-1	-1
ルーザーズ	3.27	85
ゴーストシップ	2.33	15
ロスト･イン･スペース	3.40	106
スーパーマン リターンズ	3.87	1142
ビフォア･サンセット	3.94	542
ビフォア･サンライズ 恋人までの距離 (ディスタンス)	4.02	701
インタビュー･ウィズ･ヴァンパイア	3.87	1068
パーフェクト ストーム	3.08	425
Vフォー･ヴェンデッタ	-2	-2
ラスト サムライ	3.56	1729
アイ･アム･レジェンド	3.16	3107
ダークシティ	3.47	260
アイズ ワイド シャット	3.50	905
ジョンＱ －最後の決断－	3.67	461
ゾディアック	2.63	27
アイランド	1.75	8
ベンジャミン･バトン 数奇な人生	3.69	3160
コンスタンティン	3.61	1413
トレーニング デイ	3.74	845
セブンティーン･アゲイン	4.17	572
